,Customer ID,Quarter,Revenue,Quarter End,Recency,Revenue Score
0,13085,2009Q4,1096.8,2009-12-31 23:59:59.999999999,28.0,5
1,13085,2010Q1,920.4,2010-03-31 23:59:59.999999999,61.0,4
2,13085,2010Q2,0.0,2010-06-30 23:59:59.999999999,,0
3,13085,2010Q3,0.0,2010-09-30 23:59:59.999999999,,0
4,13085,2010Q4,0.0,2010-12-31 23:59:59.999999999,,0
5,13085,2011Q1,278.1,2011-03-31 23:59:59.999999999,42.0,2
6,13085,2011Q2,0.0,2011-06-30 23:59:59.999999999,,0
7,13085,2011Q3,137.98000000000002,2011-09-30 23:59:59.999999999,87.0,1
8,13085,2011Q4,0.0,2011-12-31 23:59:59.999999999,,0
9,13078,2009Q4,2319.03,2009-12-31 23:59:59.999999999,11.0,5
10,13078,2010Q1,3148.64,2010-03-31 23:59:59.999999999,7.0,5
11,13078,2010Q2,3042.55,2010-06-30 23:59:59.999999999,0.0,5
12,13078,2010Q3,3486.2200000000003,2010-09-30 23:59:59.999999999,0.0,5
13,13078,2010Q4,5789.2300000000005,2010-12-31 23:59:59.999999999,16.0,5
14,13078,2011Q1,2342.67,2011-03-31 23:59:59.999999999,1.0,5
15,13078,2011Q2,2019.75,2011-06-30 23:59:59.999999999,1.0,5
16,13078,2011Q3,3169.07,2011-09-30 23:59:59.999999999,12.0,5
17,13078,2011Q4,4215.29,2011-12-31 23:59:59.999999999,25.0,5
18,15362,2009Q4,310.75,2009-12-31 23:59:59.999999999,30.0,2
19,15362,2010Q1,0.0,2010-03-31 23:59:59.999999999,,0
20,15362,2010Q2,0.0,2010-06-30 23:59:59.999999999,,0
21,15362,2010Q3,302.33,2010-09-30 23:59:59.999999999,13.0,2
22,15362,2010Q4,0.0,2010-12-31 23:59:59.999999999,,0
23,15362,2011Q1,0.0,2011-03-31 23:59:59.999999999,,0
24,15362,2011Q2,0.0,2011-06-30 23:59:59.999999999,,0
25,15362,2011Q3,0.0,2011-09-30 23:59:59.999999999,,0
26,15362,2011Q4,0.0,2011-12-31 23:59:59.999999999,,0
27,18102,2009Q4,41005.74,2009-12-31 23:59:59.999999999,9.0,5
28,18102,2010Q1,83789.81,2010-03-31 23:59:59.999999999,1.0,5
29,18102,2010Q2,45120.42,2010-06-30 23:59:59.999999999,7.0,5
30,18102,2010Q3,99125.7,2010-09-30 23:59:59.999999999,30.0,5
31,18102,2010Q4,107957.29000000001,2010-12-31 23:59:59.999999999,22.0,5
32,18102,2011Q1,17444.8,2011-03-31 23:59:59.999999999,6.0,5
33,18102,2011Q2,61322.14,2011-06-30 23:59:59.999999999,16.0,5
34,18102,2011Q3,73557.86,2011-09-30 23:59:59.999999999,2.0,5
